itemCode,descriptionEng,descriptionChi,unit,packageUnit,unitPrice,cost
185155,DYMO 45013 D1 TAPE 12MMX7M BLK/WH,DYMO D1 標籤帶 12毫米 x 7米 黑色字白色底,EA,1,141,
185224,DYMO 45016 D1 TAPE 12MMX7M BLK/BLU,DYMO D1 標籤帶 12毫米 x 7米 黑色字藍色底,EA,1,141,
185246,DYMO 45018 D1 TAPE 12MMX7M BLK/YLLW,DYMO D1 標籤帶 12毫米 x 7米 黑色字黃色底,EA,1,141,
185862,BROTHER TZE211 TAPE 6MM BLK/WH,Brother TZe 型標籤帶 TZe-211 6毫米x8米 黑色字白色底,EA,1,101,
185873,BROTHER TZE231 TAPE 12MM BLK/WH,Brother TZe 型標籤帶 TZe-231 12毫米x8米 黑色字白色底,EA,1,123,
185884,BROTHER TZE241 TAPE 18MM BLK/WH,Brother TZe 型標籤帶 TZe-241 18毫米x8米 黑色字白色底,EA,1,136,
185895,BROTHER TZE233 TAPE 12MM BLU/WH,Brother TZe 型標籤帶 TZe-233 12毫米x8米 藍色字白色底,EA,1,123,
185964,BROTHER TZE243 TAPE 18MM BLU/WH,Brother TZe 型標籤帶 TZe-243 18毫米x8米 藍色字白色底,EA,1,136,
185997,BROTHER TZE431 TAPE 12MM BLK/RED,Brother TZe 型標籤帶 TZe-431 12毫米x8米 黑色字紅色底,EA,1,123,
186001,BROTHER TZE441 TAPE 18MM BLK/RED,Brother TZe 型標籤帶 TZe-441 18毫米x8米 黑色字紅色底,EA,1,136,
186114,BROTHER TZE611 TAPE 6MM BLK/YLLW,Brother TZe 型標籤帶 TZe-611 6毫米x8米 黑色字黃色底,EA,1,101,
186125,BROTHER TZE631 TAPE 12MM BLK/YLLW,Brother TZe 型標籤帶 TZe-631 12毫米x8米 黑色字黃色底,EA,1,123,
186136,SIGN PUSH 6X6,[推] 黏貼標示,EA,1,19.6,
186216,BROTHER TZE641 TAPE 18MM BLK/YLLW,Brother TZe 型標籤帶 TZe-641 18毫米x8米 黑色字黃色底,EA,1,136,
186227,BROTHER TZE131 TAPE 12MM BLK/CLEAR,Brother TZe 型標籤帶 TZe-131 12毫米x8米 黑色字透明底,EA,1,123,
186238,BROTHER TZE141 TAPE 18MM BLK/CLEAR,Brother TZe 型標籤帶 TZe-141 18毫米x8米 黑色字透明底,EA,1,136,
186249,BROTHER TZE315 TAPE 6MM WH/BLK,Brother TZe 型標籤帶 TZe-315 6毫米x8米 白色字黑色底,EA,1,101,
186251,BROTHER TZE335 TAPE 12MM WH/BLK,Brother TZe 型標籤帶 TZe-335 12毫米x8米 白色 字黑色底,EA,1,132,
186262,BROTHER TZE345 TAPE 18MM WH/BLK,Brother TZe 型標籤帶 TZe-345 18毫米x8米 白色字黑色底,EA,1,157,
187994,BX100 PAPER CLIPS OVAL 50MM,萬字夾 珍寶 2吋 - 每盒100個,EA,1,7.7,
